ahat,bhat,se,fval,pval,n,x,y,study
0,0,NA,NA,NA,3301,prs,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r0,d,protein_gwas
0.000548379935799939,0.00377555776379065,0.00430242400045562,0.770079962409679,0.380256217496945,3301,prs,c0_1,protein_gwas
0.000760194524034363,0.00342897136373299,0.00430662484418834,0.633947996355941,0.425968139763653,3301,prs,c0_2,protein_gwas
0.000782864901617727,0.0031359431967266,0.00430764528155488,0.529976371877243,0.466668459081144,3301,prs,c0_3,protein_gwas
0.000903304608243575,0.0033957062969218,0.00431337233018159,0.619763997054356,0.431191552589395,3301,prs,c0_4,protein_gwas
0.000331410709780457,0.00374075185566803,0.00430527802829891,0.754945141540019,0.384978277428674,3301,prs,c0_5,protein_gwas
0.000526972063366494,0.00358574302561134,0.00430552358870481,0.693595678944066,0.405004329610342,3301,prs,c0_6,protein_gwas
0.000906884334119381,0.00370648671101281,0.00431755600012876,0.736968518584713,0.390696070452624,3301,prs,c0_7,protein_gwas
0.000662263473256854,0.00354017880544423,0.00430768999728226,0.675400708453969,0.411234376220769,3301,prs,c0_8,protein_gwas
0.000658992523188091,0.00335365049808309,0.00431131384164466,0.605084912419001,0.436700233013123,3301,prs,c0_9,protein_gwas
0.000702432674974054,0.00383407863255004,0.00430365432152095,0.793683350135804,0.373053646708803,3301,prs,c0_10,protein_gwas
0.000528431740871146,0.0032246577334215,0.00431060015327435,0.559618122848006,0.454467470780335,3301,prs,c0_11,protein_gwas
0.000960194777233838,0.00350789122764389,0.00431872317073507,0.659753196689832,0.416705693412412,3301,prs,c0_12,protein_gwas
0.000447708678820806,0.00330441613573534,0.0043012184649522,0.590209866497175,0.442392963899205,3301,prs,c0_13,protein_gwas
0.000425993865202763,0.0033834735804977,0.004308449713494,0.616713595488793,0.432327555881753,3301,prs,c0_14,protein_gwas
0.000294224179536302,0.0037966768873753,0.00431106902975421,0.775599147631405,0.378554617591907,3301,prs,c0_15,protein_gwas
0.00081415658094314,0.00318198153583762,0.00431257087305697,0.544405895618046,0.460664972497723,3301,prs,c0_16,protein_gwas
0.000495386145187629,0.00320293393587129,0.00430910222117661,0.552487388159059,0.457356054634781,3301,prs,c0_17,protein_gwas
0.00133305242028653,-0.00130830713974709,0.00429397346979181,0.0928326417148134,0.760625678180331,3301,prs,r0,protein_gwas
NA,NA,NA,NA,NA,3301,c1_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r1,d,protein_gwas
0.000984183710664871,0.00324696533615197,0.00426748327296612,0.578910796947735,0.446793949010887,3301,prs,c1_1,protein_gwas
0.00100635903728394,0.00268863040035412,0.00424865466805252,0.400460185239909,0.526895553480123,3301,prs,c1_2,protein_gwas
0.00100757086584722,0.00222826647729867,0.00425863543520198,0.27377470927579,0.600845972778436,3301,prs,c1_3,protein_gwas
0.00101281527402417,0.00254856784783501,0.00426459432400694,0.357138730548921,0.550140638717178,3301,prs,c1_4,protein_gwas
0.000967150921373198,0.00330523028614599,0.00425954297485665,0.602112216264813,0.437828875976564,3301,prs,c1_5,protein_gwas
0.000989215536576418,0.0029402007418576,0.00425401918844559,0.477699818861222,0.489514685741735,3301,prs,c1_6,protein_gwas
0.00102969713236336,0.00334391599196416,0.00426819212565157,0.613794222298612,0.433419024674856,3301,prs,c1_7,protein_gwas
0.00101016735507505,0.00286231405066833,0.00425234143210692,0.45308356502467,0.500921392751062,3301,prs,c1_8,protein_gwas
0.000998889164326831,0.00259750763001324,0.00426873513138085,0.370267204547257,0.542900547218925,3301,prs,c1_9,protein_gwas
0.000997403954643125,0.00334615583960609,0.00425805875002146,0.617545595016307,0.432017259999761,3301,prs,c1_10,protein_gwas
0.000979078949039847,0.0023782181741964,0.00426260378612558,0.311281603206522,0.576932663002718,3301,prs,c1_11,protein_gwas
0.00103172277746522,0.00281203183369196,0.00425194595187042,0.437386117790743,0.508432955743555,3301,prs,c1_12,protein_gwas
0.000984904744924296,0.0024995519696917,0.00427332073294063,0.342131736706581,0.55864132139121,3301,prs,c1_13,protein_gwas
0.000981332190276622,0.00260884853235636,0.00426507184648764,0.374149377767374,0.540793292615532,3301,prs,c1_14,protein_gwas
0.000968340732795442,0.00346213921321897,0.00425491398866284,0.662075447961236,0.415886909686507,3301,prs,c1_15,protein_gwas
0.00100591177281437,0.00225389713321407,0.00425643802518809,0.280398414540515,0.596475831106293,3301,prs,c1_16,protein_gwas
0.000979137994525036,0.002310712791233,0.00425156400928113,0.295389118602809,0.586824296206306,3301,prs,c1_17,protein_gwas
0.00108819777130522,-0.00694051053510464,0.00417977655419108,2.75725354954456,0.096909344648754,3301,prs,r1,protein_gwas
