ahat,bhat,se,fval,pval,n,x,y,study
0,0,NA,NA,NA,3301,prs,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r0,d,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_1,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_2,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_3,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_4,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_5,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_6,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_7,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_8,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_9,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_10,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_11,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_12,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_13,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_14,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_15,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_16,protein_gwas
-0.00839228434724097,0.00483316423335824,0.00421059109941939,1.31757992652434,0.251110069875823,3301,prs,c0_17,protein_gwas
-0.00840070496556667,0.000943495928467275,0.00423365585454636,0.0496648303562544,0.823661319951693,3301,prs,r0,protein_gwas
NA,NA,NA,NA,NA,3301,c1_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r1,d,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_1,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_2,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_3,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_4,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_5,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_6,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_7,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_8,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_9,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_10,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_11,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_12,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_13,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_14,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_15,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_16,protein_gwas
-0.00834612140377312,0.00396494340636562,0.0041947468705023,0.89343398447581,0.344617645630563,3301,prs,c1_17,protein_gwas
-0.00835879527386842,-0.00442935460390567,0.00420652626286858,1.10875014885197,0.292430915723987,3301,prs,r1,protein_gwas
