ahat,bhat,se,fval,pval,n,x,y,study
0.00214867180969405,-0.00188178426942478,5.97661994569842e-05,991.35314305588,1.39469833634998e-217,10000000,prs,d,all
0.108324198766839,-0.0891339334996533,0.00681333345675396,171.146040340414,4.16089133068886e-39,10000000,c0_1,d,all
0.0603362819287209,-0.0834479807311615,0.00681015701961695,150.147260731198,1.61072040661874e-34,10000000,c0_2,d,all
0.0602560395198813,-0.0622656253185046,0.00681060200152784,83.5844914722823,6.10610443227451e-20,10000000,c0_3,d,all
0.0182187481957422,-0.0545995524622048,0.00680180602112709,64.436164469923,9.97217441403385e-16,10000000,c0_4,d,all
0.168284900330218,-0.0675950539404402,0.0068052243385348,98.6608709007195,2.99739474919484e-23,10000000,c0_5,d,all
0.12229883466954,-0.0709667095866593,0.00681259610127042,108.513570950889,2.0748740725561e-25,10000000,c0_6,d,all
0.0162548986686483,-0.0563823286448755,0.00680117898915117,68.7254525655866,1.13184573211048e-16,10000000,c0_7,d,all
0.0883220521546283,-0.0826754897637336,0.0068128720284321,147.262812300473,6.87888621142069e-34,10000000,c0_8,d,all
0.092284225279805,-0.0859302254878121,0.00681347500889871,159.057652394638,1.81895414871659e-36,10000000,c0_9,d,all
0.0662691392659958,-0.0615254904001864,0.00681137763846554,81.5906230516984,1.67435081523484e-19,10000000,c0_10,d,all
0.134281059678193,-0.0707177142657959,0.00681134314079487,107.793087286496,2.98443453329013e-25,10000000,c0_11,d,all
0.00223318160737043,-0.0432867960758246,0.00679682390215145,40.5600842427748,1.90670218570657e-10,10000000,c0_12,d,all
0.158318326148932,-0.0868335435216049,0.00680729172413863,162.71452519136,2.88987082287108e-37,10000000,c0_13,d,all
0.160346533956227,-0.0908537461162032,0.00680727760773392,178.130691627217,1.24144096397527e-40,10000000,c0_14,d,all
0.176262961993508,-0.0572774812371653,0.00680331399358639,70.8805032865944,3.79579101895161e-17,10000000,c0_15,d,all
0.0482526590566179,-0.0574622820887885,0.00680856431569342,71.2286398015625,3.18177935311606e-17,10000000,c0_16,d,all
0.146264878110477,-0.0618647087196747,0.00680986467407164,82.5294558345662,1.04125235615579e-19,10000000,c0_17,d,all
0.315426108755699,-0.111149518100935,0.00681270565822738,266.180304031031,7.73022216497512e-60,10000000,r0,d,all
3.17088864575859e-05,5.96631999014135e-05,7.76532417575715e-05,0.590328706504642,0.442292056242137,10000000,prs,c0_1,all
3.53345236274149e-05,4.69755064816033e-05,7.76895437217414e-05,0.365609777005721,0.545407109257012,10000000,prs,c0_2,all
3.50795922593688e-05,5.12428584769207e-05,7.76847260194945e-05,0.435106347651065,0.509493934880442,10000000,prs,c0_3,all
3.73617782095947e-05,4.41208256862839e-05,7.77852615053373e-05,0.321730793763677,0.570569365936643,10000000,prs,c0_4,all
3.05681576082314e-05,4.51545496956501e-05,7.77460562586725e-05,0.337323264575303,0.561378387413322,10000000,prs,c0_5,all
3.22716553236325e-05,4.82107971361554e-05,7.76618904894052e-05,0.385365390540418,0.534745679822579,10000000,prs,c0_6,all
3.74557012854594e-05,4.36802953004496e-05,7.77924162278942e-05,0.315280136428247,0.574458025567926,10000000,prs,c0_7,all
3.34502134063454e-05,5.34374759420764e-05,7.76585943151937e-05,0.473492193022983,0.491384984172206,10000000,prs,c0_8,all
3.40131510161305e-05,4.50303549242273e-05,7.76516764061248e-05,0.336286217180319,0.561980785380964,10000000,prs,c0_9,all
3.47903138848811e-05,5.09566109976355e-05,7.76758875325984e-05,0.430356755139475,0.511813960945818,10000000,prs,c0_10,all
3.20944810501448e-05,4.52246882945376e-05,7.76761795310402e-05,0.33898107354993,0.560417969950329,10000000,prs,c0_11,all
3.80617954864373e-05,4.60864089571908e-05,7.78423714564961e-05,0.350520661214588,0.553818557667116,10000000,prs,c0_12,all
3.16715475887208e-05,4.10346478544047e-05,7.77221959654343e-05,0.278747702338373,0.597523205751306,10000000,prs,c0_13,all
3.07654155238863e-05,4.61751592925499e-05,7.77222969432951e-05,0.352960048807472,0.552442295581963,10000000,prs,c0_14,all
2.97417088007477e-05,4.77956437123945e-05,7.7767994921592e-05,0.377724214394545,0.538823735770727,10000000,prs,c0_15,all
3.5808760256023e-05,4.88615737089835e-05,7.77080238791881e-05,0.395369506739835,0.529490392689057,10000000,prs,c0_16,all
3.04684765312161e-05,5.26370288524389e-05,7.76931412173912e-05,0.459004953788996,0.498089392494385,10000000,prs,c0_17,all
-0.000337913388263263,0.001193175693398,7.7659114264231e-05,236.060829780397,2.8461623846055e-53,10000000,prs,r0,all
0.0106399886023799,-0.0197739722732109,0.00684137977835751,8.35411486793759,0.00384815702555175,10000000,c1_1,d,all
0.00583508779379348,-0.016362072158521,0.00684053148628659,5.72132890147997,0.0167600590406504,10000000,c1_2,d,all
0.00575685422012814,0.0184329449062338,0.00684066511721951,7.26093902496233,0.00704705523005216,10000000,c1_3,d,all
0.00155422406169401,0.0186880684444102,0.00683899719449509,7.46696268297078,0.00628415929839069,10000000,c1_4,d,all
0.0165991593683249,-0.000446394289895954,0.00683977956192335,0.00425944535493518,0.947963466849235,10000000,c1_5,d,all
0.011984003411142,0.00691884688246648,0.00684122110925521,1.02282229237236,0.311850512132045,10000000,c1_6,d,all
0.00137164891215814,0.0120824413085489,0.00683908798009533,3.12113825725395,0.0772828120097558,10000000,c1_7,d,all
