ahat,bhat,se,fval,pval,n,x,y,study
0,0,NA,NA,NA,3301,prs,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c0_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r0,d,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_1,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_2,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_3,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_4,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_5,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_6,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_7,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_8,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_9,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_10,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_11,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_12,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_13,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_14,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_15,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_16,protein_gwas
0.00151821676738869,0.00478586524248894,0.00425947217623073,1.26243597037519,0.261272251875729,3301,prs,c0_17,protein_gwas
0.0018006478120312,-0.00561585003670211,0.00420500403301615,1.78360290402546,0.181799665365606,3301,prs,r0,protein_gwas
NA,NA,NA,NA,NA,3301,c1_1,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_2,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_3,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_4,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_5,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_6,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_7,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_8,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_9,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_10,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_11,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_12,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_13,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_14,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_15,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_16,d,protein_gwas
NA,NA,NA,NA,NA,3301,c1_17,d,protein_gwas
NA,NA,NA,NA,NA,3301,r1,d,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_1,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_2,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_3,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_4,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_5,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_6,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_7,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_8,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_9,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_10,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_11,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_12,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_13,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_14,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_15,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_16,protein_gwas
0.00162505789206525,-0.00121689747330989,0.00432097913630575,0.0793128653589248,0.778248426103762,3301,prs,c1_17,protein_gwas
0.00171617342352089,0.00411887378556607,0.00433740467834524,0.901772695020095,0.342376390178034,3301,prs,r1,protein_gwas
